,binding E,GCN,CN1,CN2,ratio surface,GCN mean,CN1 mean,CN2 mean
0,-1.4743500000000003,3.25,4.0,1.0,0.9,4.775,5.5,1.3
1,-1.4743500000000003,3.4166666666666665,4.0,1.0,0.95,4.883333333333335,5.5,1.3
2,-1.6287500000000004,4.0,5.0,1.0,0.95,4.7625,5.6,1.3
3,-1.6287500000000004,3.4166666666666665,9.0,1.0,0.95,4.520833333333334,5.4,1.3
4,-1.6287500000000004,4.5,6.0,1.0,0.9,5.0375,5.6,1.4
5,-1.6330599999999997,2.5,4.0,0.0,,,,
6,-1.6329500000000003,5.416666666666667,7.0,3.0,,,,
7,-1.6329500000000003,6.75,9.0,2.0,,,,
8,-1.6287500000000004,5.5,6.0,1.0,,,,
9,-1.6330599999999997,4.416666666666667,4.0,0.0,,,,
10,-1.6287500000000004,5.5,5.0,1.0,,,,
11,-1.6287500000000004,5.5,6.0,1.0,,,,
12,-1.6339933333333332,4.166666666666667,3.0,0.0,,,,
13,-1.8209999999999997,5.583333333333333,5.0,2.0,,,,
14,-1.8209999999999997,5.666666666666667,6.0,2.0,,,,
15,-1.8209999999999997,7.25,7.0,3.0,,,,
16,-1.8209999999999997,6.25,7.0,2.0,,,,
17,-1.7034366666666665,1.75,2.0,1.0,,,,
18,-1.8209999999999997,6.333333333333333,6.0,2.0,,,,
19,-1.8017999999999994,4.333333333333333,5.0,1.0,,,,
20,-1.6330599999999997,3.1666666666666665,4.0,0.0,,,,
21,-1.46875,2.8333333333333335,3.0,1.0,,,,
22,-1.6287500000000004,4.5,6.0,1.0,,,,
23,-1.6329500000000003,3.9166666666666665,8.0,2.0,,,,
24,-1.6287500000000004,3.8333333333333335,5.0,1.0,,,,
25,-1.77835,3.9166666666666665,5.0,0.0,,,,
26,-1.6329500000000003,5.5,8.0,3.0,,,,
27,-1.6287500000000004,6.666666666666667,9.0,1.0,,,,
28,-1.6287500000000004,5.25,6.0,1.0,,,,
29,-1.4743500000000003,5.083333333333333,4.0,1.0,,,,
30,-1.6287500000000004,6.166666666666667,5.0,1.0,,,,
31,-1.6287500000000004,5.333333333333333,6.0,1.0,,,,
32,-1.6339933333333332,4.0,3.0,0.0,,,,
33,-1.8209999999999997,5.75,5.0,2.0,,,,
34,-1.8209999999999997,3.9166666666666665,6.0,2.0,,,,
35,-1.8209999999999997,7.5,7.0,3.0,,,,
36,-1.8209999999999997,6.583333333333333,6.0,2.0,,,,
37,-1.6144366666666665,2.9166666666666665,3.0,1.0,,,,
38,-1.8209999999999997,6.666666666666667,6.0,2.0,,,,
39,-1.8017999999999994,4.166666666666667,5.0,1.0,,,,
40,-1.46875,2.5833333333333335,3.0,1.0,,,,
41,-1.6330599999999997,2.6666666666666665,4.0,0.0,,,,
42,-1.4743500000000003,2.8333333333333335,4.0,1.0,,,,
43,-1.6287500000000004,2.8333333333333335,8.0,1.0,,,,
44,-1.6287500000000004,3.75,6.0,1.0,,,,
45,-1.4743500000000003,1.8333333333333333,4.0,1.0,,,,
46,-1.6329500000000003,5.25,8.0,2.0,,,,
47,-1.6329500000000003,6.666666666666667,9.0,3.0,,,,
48,-1.6287500000000004,5.583333333333333,6.0,1.0,,,,
49,-1.77835,5.416666666666667,5.0,0.0,,,,
50,-1.6287500000000004,6.416666666666667,6.0,1.0,,,,
51,-1.6287500000000004,6.166666666666667,6.0,1.0,,,,
52,-1.6339933333333332,4.333333333333333,3.0,0.0,,,,
53,-1.8209999999999997,5.666666666666667,5.0,2.0,,,,
54,-1.8209999999999997,7.166666666666667,7.0,3.0,,,,
55,-1.8209999999999997,6.5,7.0,2.0,,,,
56,-1.6144366666666665,2.3333333333333335,3.0,1.0,,,,
57,-1.8209999999999997,6.166666666666667,6.0,2.0,,,,
58,-1.8209999999999997,6.583333333333333,7.0,2.0,,,,
59,-1.8017999999999994,4.5,5.0,1.0,,,,
60,-1.4743500000000003,3.0833333333333335,4.0,1.0,,,,
61,-1.4743500000000003,3.1666666666666665,4.0,1.0,,,,
62,-1.6287500000000004,3.9166666666666665,5.0,1.0,,,,
63,-1.77835,3.25,9.0,0.0,,,,
64,-1.6287500000000004,3.6666666666666665,5.0,1.0,,,,
65,-1.4743500000000003,2.5,4.0,1.0,,,,
66,-1.6329500000000003,5.083333333333333,8.0,3.0,,,,
67,-1.6329500000000003,6.416666666666667,8.0,3.0,,,,
68,-1.6287500000000004,3.75,5.0,1.0,,,,
69,-1.77835,5.416666666666667,5.0,0.0,,,,
70,-1.6287500000000004,6.25,6.0,1.0,,,,
71,-1.77835,5.25,6.0,0.0,,,,
72,-1.6339933333333332,3.3333333333333335,3.0,0.0,,,,
73,-1.8209999999999997,5.333333333333333,5.0,2.0,,,,
74,-1.8209999999999997,5.416666666666667,5.0,2.0,,,,
75,-1.8209999999999997,6.916666666666667,7.0,3.0,,,,
76,-1.6144366666666665,2.4166666666666665,3.0,1.0,,,,
77,-1.8209999999999997,6.0,6.0,2.0,,,,
78,-1.8209999999999997,6.166666666666667,6.0,2.0,,,,
79,-1.6684699999999995,3.0833333333333335,4.0,1.0,,,,
80,-1.6330599999999997,2.8333333333333335,4.0,0.0,,,,
81,-1.6330599999999997,2.1666666666666665,4.0,0.0,,,,
82,-1.6207699999999996,2.1666666666666665,3.0,2.0,,,,
83,-1.6329500000000003,4.166666666666667,5.0,2.0,,,,
84,-1.6329500000000003,2.5,8.0,2.0,,,,
85,-1.6329500000000003,3.6666666666666665,5.0,2.0,,,,
86,-1.4743500000000003,3.6666666666666665,4.0,1.0,,,,
87,-1.6287500000000004,5.666666666666667,9.0,1.0,,,,
88,-1.6329500000000003,7.0,9.0,2.0,,,,
89,-1.6287500000000004,5.5,6.0,1.0,,,,
90,-1.4743500000000003,6.0,4.0,1.0,,,,
91,-1.6287500000000004,6.583333333333333,6.0,1.0,,,,
92,-1.6287500000000004,6.0,6.0,1.0,,,,
93,-1.6339933333333332,4.166666666666667,3.0,0.0,,,,
94,-1.8209999999999997,6.25,5.0,2.0,,,,
95,-1.8209999999999997,8.0,7.0,3.0,,,,
96,-1.8209999999999997,6.916666666666667,6.0,2.0,,,,
97,-1.8209999999999997,6.333333333333333,6.0,2.0,,,,
98,-1.8209999999999997,6.833333333333333,7.0,2.0,,,,
99,-1.8017999999999994,4.333333333333333,5.0,1.0,,,,
